,correlation,hormone
"('KLK14', 'KLK12')",0.98,e2
"('MYBPC1', 'ATP1A2')",0.86,dht
"('SYNPO2', 'MYBPC1')",0.82,p4
"('PDE2A', 'GIMAP6')",0.78,p4
"('UGT2B28', 'ALOX15B')",0.77,dht
"('MS4A7', 'MS4A14')",0.76,e2
"('KLK3', 'KLK2')",0.75,dht
"('PDE2A', 'DLC1')",0.74,p4
"('SPARCL1', 'PDE2A')",0.74,p4
"('COL3A1', 'COL12A1')",0.72,dht
"('SPARCL1', 'GIMAP6')",0.7,p4
"('DLC1', 'ADAMTS1')",0.68,p4
"('SPARCL1', 'DLC1')",0.66,p4
"('ZBTB16', 'PDE2A')",0.64,p4
"('HPGD', 'ALOX15B')",0.64,dht
"('PDE2A', 'ADAMTS1')",0.63,p4
"('SPARCL1', 'CYYR1')",0.63,p4
"('SPARCL1', 'ADAMTS1')",0.6,p4
